scenario,grids,frames,elapsed_ms,bytes_allocated,force_calls,group_queries
drag,100,600,0.556,0,60000,0
drag,1000,600,5.861,0,600000,0
drag,10000,600,61.372,0,6000000,0
own-thrust,100,600,0.533,0,60000,0
own-thrust,1000,600,5.638,0,600000,0
own-thrust,10000,600,57.928,0,6000000,0
shared-thrust,100,600,0.996,0,60000,30
shared-thrust,1000,600,5.659,0,600000,300
shared-thrust,10000,600,67.115,0,6000000,3000
max-speed-query,100,600,1.083,0,0,0
max-speed-query,1000,600,10.575,0,0,0
max-speed-query,10000,600,107.278,0,0,0
