scenario,grids,frames,elapsed_ms,bytes_allocated,force_calls,group_queries
drag,100,600,1.062,0,60000,0
drag,1000,600,5.395,0,600000,0
drag,10000,600,62.332,0,6000000,0
own-thrust,100,600,0.533,0,60000,300
own-thrust,1000,600,5.307,0,600000,3000
own-thrust,10000,600,55.715,0,6000000,30000
shared-thrust,100,600,0.541,0,60000,300
shared-thrust,1000,600,5.745,0,600000,3000
shared-thrust,10000,600,67.577,0,6000000,30000
max-speed-query,100,600,11.669,5280000,0,0
max-speed-query,1000,600,21.484,52800000,0,0
max-speed-query,10000,600,208.409,528000000,0,0
